Count	Location
   44	CONTRIBUTING.md
   13	DEPLOYING.md
  104	Makefile
    4	README.md
    9	RELEASE.md
    1	activitystream/__init__.py
    0	activitystream/admin.py
    6	activitystream/apps.py
   94	activitystream/models.py
   77	activitystream/signals.py
  135	activitystream/tests.py
   10	activitystream/urls.py
  143	activitystream/views.py
    0	administration/__init__.py
    0	administration/admin.py
  175	administration/application_views.py
    4	administration/apps.py
   25	administration/ban_views.py
   39	administration/flag_views.py
   24	administration/forms.py
  144	administration/models.py
  114	administration/templates/admin-tabs-snippet.html
   31	administration/templates/create_application.html
   22	administration/templates/dashboard.html
   54	administration/templates/list-applications-snippet.html
    9	administration/templates/list_applications.html
   76	administration/templates/view_application.html
  533	administration/test_application.py
  107	administration/test_ban.py
  167	administration/test_flag.py
  186	administration/tests.py
   64	administration/urls.py
   31	administration/views.py
    0	core/__init__.py
    0	core/admin.py
    4	core/apps.py
    0	core/management/__init__.py
    0	core/management/commands/__init__.py
    7	core/management/commands/clear_old_notifications.py
   20	core/management/commands/git_revno.py
    7	core/management/commands/rotate_activitystream.py
   15	core/management/commands/test_git_revno.py
   40	core/management/commands/test_update_flatpages.py
    6	core/management/commands/toggle_ads.py
    6	core/management/commands/toggle_promotions.py
   69	core/management/commands/update_flatpages.py
    1	core/models.py
   14	core/search_indexes.py
    6	core/templates/404.html
   34	core/templates/activity-snippet.html
  203	core/templates/base.html
   11	core/templates/flatpages/default.html
   18	core/templates/flatpages/list.html
  102	core/templates/front.html
    9	core/templates/permission_denied.html
   65	core/templates/search/search.html
    0	core/templatetags/__init__.py
   28	core/templatetags/git_revno.py
   18	core/templatetags/git_revno_tests.py
   29	core/templatetags/gravatar.py
   10	core/tests.py
   14	core/urls.py
   78	core/views.py
    4	flatpage-defaults/about-aup.md
   29	flatpage-defaults/about-credits.md
    0	flatpage-defaults/about-help-administration.md
    0	flatpage-defaults/about-help-api.md
    0	flatpage-defaults/about-help-folders.md
    0	flatpage-defaults/about-help-honeycomb.md
    0	flatpage-defaults/about-help-markdown.md
    0	flatpage-defaults/about-help-promoting.md
    0	flatpage-defaults/about-help-publishers.md
   30	flatpage-defaults/about-help-submissions.md
   35	flatpage-defaults/about-help-tags.md
    0	flatpage-defaults/about-help-user.md
   11	flatpage-defaults/about-terms.md
   16	gen-badge.sh
    0	honeycomb/__init__.py
   23	honeycomb/middleware.py
    2	honeycomb/revno.py
  136	honeycomb/settings.py
   20	honeycomb/urls.py
   10	honeycomb/wsgi.py
   89	honeycomb_markdown.py
    0	promotion/__init__.py
    0	promotion/admin.py
    4	promotion/apps.py
   58	promotion/models.py
    0	promotion/tests.py
    0	promotion/views.py
    0	publishers/__init__.py
    0	publishers/admin.py
    4	publishers/apps.py
   13	publishers/models.py
    0	publishers/tests.py
    0	publishers/views.py
    7	run-coveralls.sh
   19	sloc.py
    0	social/__init__.py
    0	social/admin.py
    4	social/apps.py
   17	social/forms.py
   55	social/models.py
   11	social/templates/confirm_unblock_user.html
  123	social/templates/notification-snippet.html
  237	social/templates/notifications_categories.html
   52	social/templates/notifications_timeline.html
  919	social/tests.py
   42	social/urls.py
  465	social/views.py
  136	spec.md
    0	submissions/__init__.py
    0	submissions/admin.py
    4	submissions/apps.py
  238	submissions/folder_views.py
   33	submissions/forms.py
  186	submissions/models.py
   24	submissions/templates/confirm_delete_folder.html
   29	submissions/templates/confirm_delete_submission.html
   15	submissions/templates/edit_folder.html
  159	submissions/templates/edit_submission.html
   11	submissions/templates/list_root_folders.html
  102	submissions/templates/list_submissions.html
   63	submissions/templates/subcomments-snippet.html
   21	submissions/templates/submission-list-snippet.html
   38	submissions/templates/update_submission_order_in_folder.html
  155	submissions/templates/view_submission.html
  478	submissions/test_folders.py
  853	submissions/tests.py
   48	submissions/urls.py
   26	submissions/utils.py
  276	submissions/views.py
    0	tags/__init__.py
    4	tags/apps.py
   12	tags/templates/list_tags.html
   56	tags/templates/view_tag.html
    0	tags/templatetags/__init__.py
   48	tags/templatetags/tag_extras.py
  116	tags/tests.py
   27	tags/urls.py
   59	tags/views.py
    0	usermgmt/__init__.py
    0	usermgmt/admin.py
    4	usermgmt/apps.py
   37	usermgmt/forms.py
   10	usermgmt/group_models.py
  119	usermgmt/group_views.py
  137	usermgmt/models.py
   24	usermgmt/templates/confirm_delete_group.html
   20	usermgmt/templates/list_groups.html
  107	usermgmt/templates/profile-tabs-snippet.html
   14	usermgmt/templates/registration/form-snippet.html
    4	usermgmt/templates/registration/logged_out.html
   25	usermgmt/templates/registration/login.html
   25	usermgmt/templates/registration/new.html
    4	usermgmt/templates/registration/password_change_done.html
   15	usermgmt/templates/registration/password_change_form.html
    4	usermgmt/templates/registration/password_reset_complete.html
   17	usermgmt/templates/registration/password_reset_confirm.html
    4	usermgmt/templates/registration/password_reset_done.html
    2	usermgmt/templates/registration/password_reset_email.html
   12	usermgmt/templates/registration/password_reset_form.html
   15	usermgmt/templates/update_group.html
   49	usermgmt/templates/update_profile.html
   16	usermgmt/templates/view_group.html
   51	usermgmt/templates/view_profile.html
    0	usermgmt/templatetags/__init__.py
   14	usermgmt/templatetags/form_extras.py
   23	usermgmt/templatetags/profile_extras.py
   15	usermgmt/templatetags/profile_extras_tests.py
  201	usermgmt/test_groups.py
  126	usermgmt/tests.py
   24	usermgmt/urls.py
    9	usermgmt/utils.py
   87	usermgmt/views.py
10125	TOTAL
